HSHEET,YEAR,Longitude (Geographic NAD83),Latitude (Geographic NAD83),Longitude (UTM NAD83),Latitude (UTM NAD83),Historical sounding (Mean lower low water),LiDAR elevation (Mean lower low water),Difference = LiDAR - Historical
H08576,1961,156.43260W,20.91876N,767038.5068,2315293.799,-6.6768,-8.93900013,-2.26220013
H08576,1961,156.43335W,20.91813N,766961.2675,2315222.548,-8.8768,-9.170000076,-0.293200076
H08576,1961,156.48920W,20.93784N,761115.0095,2317313.232,-8.2768,-9.970000267,-1.693200267
H08576,1961,156.48974W,20.94029N,761054.7794,2317583.807,-12.1768,-13.12000084,-0.943200839
H08576,1961,156.48885W,20.94238N,761143.1148,2317817.495,-17.2768,-18.10700035,-0.830200351
H08576,1961,156.48595W,20.94062N,761448.7343,2317627.206,-18.3768,-19.53100014,-1.154200137
H08576,1961,156.49252W,20.94235N,760761.4367,2317807.86,-14.3768,-14.31400108,0.062798917
H08576,1961,156.44304W,20.91569N,765957.3993,2314936.867,-9.9768,-10.97000027,-0.993200267
H08576,1961,156.44095W,20.91763N,766170.9479,2315155.08,-8.0768,-9.372000694,-1.295200694
H08576,1961,156.43808W,20.91546N,766473.2452,2314919.286,-10.4768,-11.91900063,-1.442200626
H08576,1961,156.44502W,20.90570N,765768.5583,2313827.031,-2.4768,-3.226000309,-0.749200309
H08576,1961,156.42533W,20.92429N,767784.7976,2315918.4,-7.9768,-8.282000542,-0.305200542
H08576,1961,156.43902W,20.91075N,766384.2674,2314396.41,-2.6768,-3.468000174,-0.791200174
H08576,1961,156.43552W,20.91843N,766734.3872,2315252.818,-4.4768,-4.592000484,-0.115200484
H08576,1961,156.42562W,20.92079N,767761.2659,2315529.946,-4.2768,-4.704000473,-0.427200473
H08576,1961,156.42600W,20.92130N,767720.6972,2315586.68,-3.8768,-4.639000416,-0.762200416
H08576,1961,156.48391W,20.93738N,761665.9033,2317271.026,-15.2768,-15.21800041,0.058799588
H08576,1961,156.48782W,20.93460N,761264.7312,2316957.209,-6.9768,-8.070000649,-1.093200649
H08576,1961,156.43259W,20.91970N,767036.9441,2315397.911,-5.1768,-5.374000072,-0.197200072
H08576,1961,156.48907W,20.93660N,761130.8819,2317177.001,-8.6768,-8.339000702,0.337799298
H08576,1961,156.49131W,20.93345N,760903.4886,2316824.265,-4.2768,-4.998000145,-0.721200145
H08576,1961,156.43020W,20.91870N,767287.4377,2315290.586,-5.7768,-6.498000145,-0.721200145
H08576,1961,156.46908W,20.90381N,763268.3314,2313578.034,-14.6768,-14.95500088,-0.278200877
H08576,1961,156.43933W,20.91818N,766338.6712,2315218.134,-4.9768,-6.9010005,-1.9242005
H08576,1961,156.49037W,20.94034N,760989.0404,2317588.316,-14.6768,-14.0010004,0.675799596
H08576,1961,156.48618W,20.93907N,761426.8714,2317455.266,-15.2768,-16.5170002,-1.240200198
H08576,1961,156.46142W,20.90514N,764062.4703,2313737.362,-3.7768,-4.144000053,-0.367200053
H08576,1961,156.48629W,20.94222N,761410.5785,2317803.854,-16.6768,-18.93200111,-2.255201114
H08576,1961,156.49372W,20.94189N,760637.6939,2317754.966,-11.0768,-13.04000092,-1.963200916
H08576,1961,156.43698W,20.91584N,766587.6759,2314962.769,-4.0768,-7.578000546,-3.501200546
H08576,1961,156.46792W,20.90670N,763383.1711,2313900,-15.5768,-17.23000145,-1.65320145
H08576,1961,156.43329W,20.91930N,766964.9152,2315352.333,-6.2768,-7.468000412,-1.191200412
H08576,1961,156.42627W,20.91918N,767696.4821,2315350.876,-6.6768,-7.595000267,-0.918200267
H08576,1961,156.42439W,20.92854N,767875.3669,2316390.467,-17.4768,-16.91500092,0.561799085
H08576,1961,156.43758W,20.91944N,766518.5434,2315361.148,-6.2768,-7.978000641,-1.701200641
H08576,1961,156.44036W,20.91648N,766234.2742,2315028.691,-4.9768,-5.304000378,-0.327200378
H08576,1961,156.43860W,20.91333N,766422.902,2314682.293,-4.4768,-4.919000149,-0.442200149
H08576,1961,156.43892W,20.91299N,766390.8228,2314644.336,-4.4768,-4.550000191,-0.073200191
H08576,1961,156.48534W,20.93636N,761519.4036,2317156.063,-11.7768,-11.71200085,0.064799153
H08576,1961,156.43092W,20.91599N,767217.9268,2314990.356,-3.8768,-6.759000301,-2.882200301
H08576,1961,156.42927W,20.92413N,767375.3966,2315894.216,-9.9768,-11.23900032,-1.26220032
H08576,1961,156.42480W,20.91862N,767849.6224,2315291.074,-5.3768,-5.042000294,0.334799706
H08576,1961,156.48561W,20.93567N,761492.2948,2317079.644,-9.9768,-10.87500095,-0.898200954
H08576,1961,156.49124W,20.93652N,760904.9307,2317164.267,-4.8768,-5.868000507,-0.991200507
H08576,1961,156.48994W,20.93522N,761043.0737,2317022.307,-5.3768,-6.46900034,-1.09220034
H08576,1961,156.46717W,20.90321N,763467.4265,2313514.817,-12.4768,-14.68100071,-2.20420071
H08576,1961,156.43608W,20.92024N,766673.6403,2315452.032,-7.1768,-7.749000549,-0.572200549
H08576,1961,156.49064W,20.93882N,760963.5745,2317420.198,-8.4768,-8.498000145,-0.021200145
H08576,1961,156.49361W,20.93952N,760653.2399,2317492.996,-9.0768,-11.9090004,-2.832200397
H08576,1961,156.49016W,20.94137N,761008.5824,2317702.724,-14.4768,-15.08700085,-0.610200847
H08576,1961,156.43650W,20.92448N,766622.0135,2315920.705,-18.3768,-21.21900177,-2.84220177
H08576,1961,156.43866W,20.92043N,766404.207,2315468.331,-8.8768,-9.163000107,-0.286200107
H08576,1961,156.42454W,20.92456N,767866.4223,2315949.512,-9.9768,-9.063000679,0.913799321
H08576,1961,156.43932W,20.91728N,766340.9913,2315118.466,-4.8768,-5.311000347,-0.434200347
H08576,1961,156.43857W,20.91600N,766421.6191,2314977.73,-6.0768,-5.940000534,0.136799466
H08576,1961,156.42768W,20.92086N,767546.1472,2315534.359,-3.8768,-4.340000153,-0.463200153
H08576,1961,156.44162W,20.91528N,766105.9099,2314892.928,-5.7768,-6.90500021,-1.12820021
H08576,1961,156.44128W,20.91455N,766142.0491,2314813.408,-7.3768,-7.476000309,-0.099200309
H08576,1961,156.44228W,20.91462N,766038.1773,2314819.174,-10.6768,-9.861000061,0.815799939
H08576,1961,156.42942W,20.92717N,767353.8756,2316230.211,-13.9768,-14.37200069,-0.395200694
H08576,1961,156.42659W,20.92713N,767648.6383,2316230.509,-11.9768,-12.5720005,-0.595200504
H08576,1961,156.43100W,20.91992N,767202.0099,2315425.148,-4.4768,-5.171000481,-0.694200481
H08576,1961,156.42664W,20.92556N,767645.5899,2316057.304,-11.7768,-12.78900051,-1.012200511
H08576,1961,156.43467W,20.92416N,766813.1094,2315888.533,-9.9768,-12.38600063,-2.409200633
